Country,Lat,Lon,Capital City,Country_Code,Currency,Image_name,Image_URL,population,country_name
Saudi Arabia,24.08,45.69,Riyadh,SAU,Saudi Riyal,Flag_of_Saudi_Arabia.svg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,215056,Sao Tome and Principe
Senegal,14.4,-14.39,Dakar,SEN,CFA Franc BCEAO,Flag_of_Senegal.svg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,34268528,Saudi Arabia
Serbia,44.09,20.65,Belgrade,SRB,Dinar,Flag_of_Serbia.svg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,16296364,Senegal
Seychelles,-4.6,55.41,Victoria,SYC,Seychelles Rupee,Flag_of_Seychelles.svg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg,6944975,Serbia
Sierra Leone,8.57,-11.92,Freetown,SLE,Sierra Leone Leone,Flag_of_Sierra_Leone.svg,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,97625,Seychelles
Singapore,1.35,103.85,Singapore,SGP,Singapore Dollar,Flag_of_Singapore.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,7813215,Sierra Leone
Slovakia,48.7,19.23,Bratislava,SVK,Euro,Flag_of_Slovakia.svg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,5703569,Singapore
Slovenia,46.109,14.39,Ljubljana,SVN,Euro,Flag_of_Slovenia.svg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,5454073,Slovak Republic
Solomon Islands,-9.63,159.84,Honiara,SLB,Solomon Islands Dollar,Flag_of_the_Solomon_Islands.svg,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,2087946,Slovenia
Somalia,2.96,44.63,Mogadishu,SOM,Somali Shilling,Flag_of_Somalia.svg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,669823,Solomon Islands
South Africa,-30.56,23.15,Pretoria,ZAF,South African Rand,Flag_of_South_Africa.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,15442905,Somalia
South Korea,37.74,127.047,Seoul,PRK,Korean Won,Flag_of_South_Korea.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,58558270,South Africa
South Sudan,7.77,29.69,Juba,SSD,South Sudan Pound,Flag_of_South_Sudan.svg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,11062113,South Sudan
Spain,39.54,-3.544,Madrid,ESP,Euro,Flag_of_Spain.svg,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,47076781,Spain
Sri Lanka,7.71,80.43,Colombo,LKA,Sri Lanka Rupee,Flag_of_Sri_Lanka.svg,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,21803000,Sri Lanka
Sudan,16.19,29.99,Khartum,SDN,Sudanese Pound,Flag_of_Sudan.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg,42813238,Sudan
Suriname,3.58,-55.29,Paramaribo,SUR,Surinam Dolla,Flag_of_Suriname.svg,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,581372,Suriname
Sweden,62.86,16.52,Stockholm,SWE,Swedish Krona,Flag_of_Sweden.svg,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,10285453,Sweden
Switzerland,46.99,7.41,Bern,CHE,Swiss Franc,Flag_of_Switzerland_%28Pantone%29.svg,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,8574832,Switzerland
Syria,35.06,38.34,Damascus,SYR,Syrian Pound,Flag_of_Syria.svg,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg,17070135,Syrian Arab Republic
Taiwan,25.58,121.28,Taipei,CN-TW,Taiwan Dollar,Flag_of_the_Republic_of_China.svg,https://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg,23773876,
Tajikistan,38.69,71.4,Dushanbe,TJK,Tajik Somoni,Flag_of_Tajikistan.svg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,9321018,Tajikistan
Tanzania,-6.14,33.71,Dodoma,TZA,Tanzanian Shilling,Flag_of_Tanzania.svg,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg,58005463,Tanzania
Thailand,15.52,100.35,Bangkok,THA,Thai Baht,Flag_of_Thailand.svg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,69625582,Thailand
Togo,8.72,1.08,Lom,TGO,CFA Franc BCEAO,Flag_of_Togo.svg,https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg,8082366,Togo
Tonga,-21.16,-175.14,Nuku'alofa,TON,Tongan Pa'anga,Flag_of_Tonga.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,104494,Tonga
Trinidad and Tobago,10.37,-61.23,Port-of-Spain,TTO,Trinidad and Tobago Dollar,Flag_of_Trinidad_and_Tobago.svg,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,1394973,Trinidad and Tobago
Tunisia,34.2,9.33,Tunis,TUN,Tunisian Dollar,Flag_of_Tunisia.svg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,11694719,Tunisia
